"gene_id","scer_gene_name","functional_category","category_order","name_raw","desc_raw"
"YJR064W","CCT5","Protein folding / QC",2,"YJR064W   CCT5       PROTEIN TARGETING                       CYTOPLASMIC CHAPERONIN COMPLEX          S0003825","PROTEIN TARGETING CYTOPLASMIC CHAPERONIN COMPLEX S0003825"
"YMR173W","DDR48","Protein folding / QC",2,"YMR173W   DDR48      UNKNOWN                                 INDUCED BY DNA DAMAGE, HEAT SHOCK, OR OSS0004784","UNKNOWN INDUCED BY DNA DAMAGE, HEAT SHOCK, OR OSS0004784"
"YLR449W","FPR4","Protein folding / QC",2,"YLR449W   FPR4       PROTEIN FOLDING (PUTATIVE)              SIMILAR TO PEPTIDYL-PROLYL CIS-TRANS ISOS0004441","PROTEIN FOLDING (PUTATIVE) SIMILAR TO PEPTIDYL-PROLYL CIS-TRANS ISOS0004441"
"YNL153C","GIM3","Protein folding / QC",2,"YNL153C   GIM3       PROTEIN FOLDING                         PREFOLDIN SUBUNIT 4                     S0005097","PROTEIN FOLDING PREFOLDIN SUBUNIT 4 S0005097"
"YLL026W","HSP104","Protein folding / QC",2,"YLL026W   HSP104     HEAT SHOCK RESPONSE /THERMOTOLERANCE    HEAT SHOCK PROTEIN                      S0003949","HEAT SHOCK RESPONSE /THERMOTOLERANCE HEAT SHOCK PROTEIN S0003949"
"YFL014W","HSP12","Protein folding / QC",2,"YFL014W   HSP12      GLUCOSE AND LIPID UTILIZATION           HEAT SHOCK PROTEIN                      S0001880","GLUCOSE AND LIPID UTILIZATION HEAT SHOCK PROTEIN S0001880"
"YDR171W","HSP42","Protein folding / QC",2,"YDR171W   HSP42      CYTOSKELETON ASSEMBLY                   HEAT SHOCK PROTEIN, SIMILAR TO HSP26    S0002578","CYTOSKELETON ASSEMBLY HEAT SHOCK PROTEIN, SIMILAR TO HSP26 S0002578"
"YDR258C","HSP78","Protein folding / QC",2,"YDR258C   HSP78      PROTEIN FOLDING                         MITOCHONDRIAL                           S0002666","PROTEIN FOLDING MITOCHONDRIAL S0002666"
"YKL103C","LAP4","Protein folding / QC",2,"YKL103C   LAP4       PROTEIN DEGRADATION                     VACUOLAR AMINOPEPTIDASE YSC1            S0001586","PROTEIN DEGRADATION VACUOLAR AMINOPEPTIDASE YSC1 S0001586"
"YMR174C","PAI3","Protein folding / QC",2,"YMR174C   PAI3       OSMOTIC STRESS RESPONSE                 PROTEASE A (YSCA) INHIBITOR IA3         S0004786","OSMOTIC STRESS RESPONSE PROTEASE A (YSCA) INHIBITOR IA3 S0004786"
"YNL015W","PBI2","Protein folding / QC",2,"YNL015W   PBI2       UNKNOWN                                 PROTEASE INHIBITOR                      S0004960","UNKNOWN PROTEASE INHIBITOR S0004960"
"YHR064C","PDR13","Protein folding / QC",2,"YHR064C   PDR13      DRUG RESISTANCE                         HSP70 HOMOLOG                           S0001106","DRUG RESISTANCE HSP70 HOMOLOG S0001106"
"YPL154C","PEP4","Protein folding / QC",2,"YPL154C   PEP4       PROTEIN DEGRADATION                     VACUOLAR ASPARTYL PROTEASE              S0006075","PROTEIN DEGRADATION VACUOLAR ASPARTYL PROTEASE S0006075"
"YEL060C","PRB1","Protein folding / QC",2,"YEL060C   PRB1       PROTEIN DEGRADATION                     VACUOLAR PROTEASE B                     S0000786","PROTEIN DEGRADATION VACUOLAR PROTEASE B S0000786"
